Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,25/45/165 45:130:6,6422400,24933730,5277005,10271724,7942935,16984950,3748705,49529773,3374794,18130457,4637206,35289651,34.00959095,100.9990798,-7,2617579,2503542,2489320,11.70743908,9.538616511,8.444983777,44.84520954,43.26262551,34.94241152,0
IN1024,25/45/165 45:130:33,6418903,24930224,5286778,10272162,7935495,16983528,3751089,49519124,3375668,18128186,4701858,35287820,34.04578695,100.9990798,-7.1,2623626,2504162,2488477,11.65505739,9.4179474,9.084373566,44.65373063,43.23575029,35.42907104,0
IN1024,25/45/165 45:131:1,6429420,24926268,5277980,10271501,7946899,16984269,3749991,49508981,3380264,18126893,4637501,35280895,34.07293395,100.9887855,-7.1,2621701,2503950,2488858,11.67205184,9.575916884,8.411915841,44.87740107,43.22965184,34.91527416,0
IN1024,25/45/165 45:131:29,6416620,24920457,5282230,10269283,7931930,16981783,3760111,49500228,3383138,18125134,4648326,35277624,34.09103195,101.0093741,-7.2,2626788,2505095,2490798,11.75326416,9.526790858,8.476543819,44.6946057,43.18752742,34.7517163,0
IN1024,25/45/165 45:131:57,6421309,24918563,5278897,10269485,7940093,16980156,3753295,49490618,3381176,18122574,4644942,35272859,34.10008095,101.0093741,-7.2,2627181,2502125,2488607,11.64484999,9.471067824,8.437109631,44.65110193,43.01375546,34.80041313,0
IN1024,25/45/165 45:132:24,6417626,24910740,5269685,10267284,7934474,16977295,3758056,49476537,3386706,18119423,4640507,35264999,34.11817896,100.9990798,-7.2,2625631,2503395,2488377,11.74786116,9.644275677,8.412957945,44.74529452,43.02916673,34.74743242,0
IN1024,25/45/165 45:132:52,6421919,24906582,5287009,10266476,7936102,16976510,3756199,49468885,3388605,18117640,4647818,35260580,34.18152196,100.9784912,-7.2,2629699,2503534,2487921,11.66035315,9.596615234,8.455492435,44.67403484,43.31724886,34.76909158,0
IN1024,25/45/165 45:133:20,6421512,24899141,5282541,10265121,7929319,16973878,3759402,49452053,3390343,18114989,4643574,35255068,34.17247296,101.0093741,-7.3,2630171,2503680,2488449,11.70804904,9.628684616,8.404919596,44.72726392,43.23888105,34.63958711,0
IN1024,25/45/165 45:133:47,6413973,24894215,5273547,10262115,7937792,16973203,3765610,49438315,3392941,18114329,4648295,35249524,34.23581596,100.9887855,-7.3,2634313,2503428,2488442,11.74642375,9.595491354,8.420199451,44.59495998,42.90907921,34.71454513,0
IN1024,25/45/165 45:134:15,6421692,24884847,5279036,10262106,7936583,16969172,3761278,49422482,3394199,18110048,4647817,35244310,34.25391396,101.0093741,-7.3,2636529,2504523,2488954,11.65097845,9.577334875,8.393109056,44.61400801,42.97966728,34.66710029,0
IN1024,25/45/165 45:134:43,6425850,24881663,5280221,10261747,7947098,16968653,3762238,49411152,3398076,18107703,4654110,35238498,34.28106096,101.0093741,-7.3,2638065,2505168,2490957,11.64722002,9.638613745,8.45090055,44.66214805,43.04114173,34.83977784,0
IN1024,25/45/165 45:135:10,6420311,24875023,5284008,10261957,7939985,16967599,3767007,49401640,3393314,18106387,4648980,35233168,34.32630597,100.9990798,-7.1,2642812,2502306,2487126,11.6502924,9.410237239,8.346748974,44.51330429,42.76479454,34.58609061,0
IN1024,25/45/165 45:135:38,6459192,24866277,5315829,10257802,8084872,16963846,3892586,49393684,3597953,18101600,5467744,35226735,34.32630597,100.9887855,-6.9,2642556,2502354,2487586,13.59800398,14.30477513,17.27317652,47.10411451,48.48345693,45.29241725,0
IN1024,25/45/165 45:136:6,6483281,24833297,5406675,10249317,8580320,16950528,3942290,49355911,3641902,18090955,5676056,35217121,34.39869797,100.9887855,-6.5,2648669,2503690,2487915,14.28835867,15.22527872,19.48777389,48.17270709,51.57276866,53.52026331,0
IN1024,25/45/165 45:136:34,6526173,24806522,5485788,10244875,8759485,16943996,3957402,49318487,3677425,18086821,5761518,35213224,34.48013898,101.0093741,-6.3,2647570,2505332,2489243,14.55614514,16.10883438,20.4376139,49.21616735,54.48498784,56.70315351,0
IN1024,25/45/165 45:137:1,6556692,24775010,5530023,10239305,8872300,16935376,3976108,49273473,3690744,18080843,5827676,35208437,34.58872698,100.9887855,-6.1,2652743,2505614,2490045,14.78721903,16.31740267,21.11407465,49.93935496,55.71201377,58.74054186,0
