Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,12/31/14 15:16:36,4282069,26609880,3914911,10662849,7040378,17455821,2856850,53176334,2946090,18897823,5208621,35891545,26.03,99.70,-8.7,2100619,2451659,2442294,5.208127456128,10.838611604280,20.347241173281,8.321294329466,18.391178436540,36.255009947964,0
IN1024,12/31/14 15:17:3,4284237,26606823,3910897,10660244,7025129,17452273,2853248,53172295,2939549,18895461,5203040,35890462,26.05,99.69,-8.8,2098131,2449382,2439924,5.192639430614,10.744555754691,20.312963940797,8.387934260534,18.260012952980,36.063806695289,0
IN1024,12/31/14 15:17:31,4283941,26606363,3913025,10662606,7029438,17454560,2854607,53172356,2939320,18895317,5202983,35892421,26.04,99.68,-9.0,2099367,2451280,2441500,5.194906811308,10.712514817426,20.298491738647,8.367557510789,18.248958280950,36.087731124913,0
IN1024,12/31/14 15:17:59,4277569,26606224,3907275,10662516,7028851,17453832,2857344,53171017,2936926,18894551,5210023,35893301,26.05,99.69,-9.0,2102239,2453018,2443079,5.193525358319,10.591680159596,20.346036819831,8.209402279791,17.912343133444,36.101044644239,0
IN1024,12/31/14 15:18:27,4283714,26607610,3910227,10660791,7033737,17454675,2857535,53172827,2943243,18895527,5200327,35890198,26.05,99.69,-9.0,2098022,2449969,2440011,5.257182872509,10.833988651703,20.284349515027,8.445108771670,18.335146802023,36.140044507885,0
IN1024,12/31/14 15:18:54,4284428,26606491,3915161,10661663,7029882,17453988,2860939,53171168,2942545,18896826,5204530,35893560,26.08,99.68,-9.1,2100603,2452025,2442264,5.270613494589,10.759206978810,20.303306397138,8.431739843062,18.329978844224,36.089625542882,0
IN1024,12/31/14 15:19:22,4288449,26607551,3910621,10661278,7039795,17455167,2853124,53167146,2942219,18894483,5205499,35889812,26.06,99.69,-9.2,2099114,2451063,2441416,5.178002383665,10.787445969710,20.332470651235,8.430720607172,18.273954796684,36.254901491017,0
IN1024,12/31/14 15:19:50,4282554,26604458,3913765,10659406,7024642,17454618,2858271,53168124,2939453,18896990,5217331,35893412,26.09,99.68,-9.1,2100225,2451838,2442159,5.237612768041,10.695174525239,20.451745093953,8.375762889027,18.251194240430,36.171968363420,0
IN1024,12/31/14 15:20:17,4280564,26607221,3912929,10661868,7025712,17457109,2862458,53167309,2937986,18894065,5197903,35892509,26.04,99.68,-9.3,2100324,2451442,2441404,5.297303936126,10.660298034261,20.230575064543,8.394090286956,18.174476919787,35.949750214287,0
IN1024,12/31/14 15:20:45,4284204,26607477,3919904,10662786,7035520,17456275,2861614,53165993,2942449,18896886,5212414,35893572,26.07,99.68,-9.3,2100558,2451682,2441745,5.281969367636,10.756817158394,20.391149839137,8.437686351640,18.444233881691,36.238555418877,0
IN1024,12/31/14 15:21:13,4290658,26605640,3911139,10657997,7019937,17453482,2857864,53164731,2940434,18894709,5187919,35890131,26.07,99.67,-9.4,2100137,2451059,2441358,5.233626971124,10.722294289873,20.124478082051,8.510336940704,18.215600365029,35.787284400847,0
